num,playerID,yearID,stint,teamID,IgID,W,L,G,GS,CG,SHO,SV,Ipouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,prev_salary,salary
25091,easteja01,1985,1,CLE,AL,4,1,50,7,0,0,0,296,96,43,9,53,58,0.264,3.92,4,7,4,0,435,18,52,5,9,11,2903616.79434,4257598.1441
25092,eckerde01,1985,1,CHN,NL,11,7,25,25,6,2,0,508,145,58,15,19,117,0.229,3.08,4,0,3,3,664,0,61,6,2,7,8217783.3802,9528906.07717
25104,flanami01,1985,1,BAL,AL,4,5,15,15,1,0,0,258,101,49,14,28,42,0.297,5.13,0,3,2,0,379,0,49,7,2,9,7030773.87763,7782779.92631
25105,fontera01,1985,1,CHN,NL,6,10,38,23,0,0,0,464,177,75,23,45,70,0.294,4.36,4,3,0,2,661,5,86,12,2,22,2191408.90139,2919495.87024
25106,forscbo01,1985,1,SLN,NL,9,6,34,19,3,1,2,408,132,59,11,47,48,0.258,3.9,4,4,2,0,567,4,63,5,1,12,6391605.64336,6413585.02144
25109,francjo01,1985,1,CIN,NL,12,3,67,0,0,0,12,297,83,24,5,40,61,0.234,2.18,8,4,1,0,407,33,27,11,1,8,821778.33802,2372090.39457
25110,frazige01,1985,1,CHN,NL,7,8,51,0,0,0,2,228,88,54,11,52,46,0.299,6.39,9,4,3,2,357,17,57,7,1,10,5295901.19267,7704221.15827
25111,garbege01,1985,1,ATL,NL,6,6,59,0,0,0,1,292,98,39,8,25,66,0.264,3.61,8,1,2,0,409,31,41,9,1,9,8458838.35935,9569462.74063
25113,garresc01,1985,1,SFN,NL,9,6,74,0,0,0,13,317,76,27,2,58,106,0.198,2.3,12,7,3,1,454,44,37,6,3,6,931348.783089,2493736.05583
25120,gossari01,1985,1,SDN,NL,5,3,50,0,0,0,26,237,64,16,1,17,52,0.226,1.82,1,0,1,0,308,38,21,3,4,9,18773065.9362,12733393.4026
25121,gottji01,1985,1,SFN,NL,7,10,26,26,2,0,0,445,144,64,10,51,78,0.254,3.88,3,3,1,2,629,0,73,6,4,10,1862697.56618,4561712.29725
25123,grosske01,1985,1,PHI,NL,15,13,38,31,6,2,0,617,194,78,11,81,151,0.251,3.41,6,2,7,0,873,0,86,7,5,13,1533986.23097,4318420.97473
25124,guantce01,1985,1,PIT,NL,4,6,63,0,0,0,5,327,84,33,5,40,92,0.214,2.72,9,5,5,0,445,31,34,4,3,6,1643556.67604,3740604.08374
25125,gubicma01,1985,1,KCA,AL,14,10,29,28,0,0,0,532,160,80,14,77,99,0.238,4.06,0,12,5,0,760,0,88,1,6,14,1260060.1183,3041141.5315
25126,guidrro01,1985,1,NYA,AL,22,6,34,33,11,2,0,777,243,94,28,42,143,0.248,3.27,3,3,0,1,1033,0,104,3,8,30,9861340.05624,11860451.9728
25132,haasmo01,1985,1,ML4,AL,8,8,27,26,6,1,0,485,165,69,21,25,78,0.26,3.84,3,2,1,0,666,0,85,1,5,15,7441663.04664,9478228.49469
25134,hammaat01,1985,1,SFN,NL,5,12,29,29,1,1,0,512,161,71,17,47,100,0.247,3.74,5,4,0,4,713,0,81,8,6,12,3889750.79996,5595700.41796
25138,hawkian01,1985,1,SDN,NL,18,8,33,33,5,2,0,686,229,80,18,65,69,0.267,3.15,8,3,4,3,953,0,88,13,12,23,2191408.90139,3649369.8378
