25074,davisro02,1985,1,MIN,AL,2,6,57,0,0,0,25,194,55,25,7,35,72,0.23000000000000001,3.48,6.0,8,4.0,1,285.0,50,28,3.0,4.0,4.0,650000,725000
25075,davisst02,1985,1,BAL,AL,10,8,31,28,8,1,0,525,172,88,11,70,93,0.25600000000000001,4.5300000000000002,5.0,2,1.0,1,750.0,0,92,3.0,3.0,16.0,437500,510000
25077,dawlebi01,1985,1,HOU,NL,5,3,49,0,0,0,2,243,76,32,7,37,48,0.25900000000000001,3.5600000000000001,7.0,2,0.0,0,347.0,19,35,12.0,4.0,8.0,295000,325000
25078,dayleke01,1985,1,SLN,NL,4,4,57,0,0,0,11,196,65,20,2,18,62,0.26300000000000001,2.7599999999999998,9.0,4,0.0,0,271.0,27,24,4.0,2.0,9.0,150000,300000
25079,dedmoje01,1985,1,ATL,NL,6,3,60,0,0,0,0,258,84,39,5,49,41,0.26400000000000001,4.0800000000000001,14.0,2,1.0,1,377.0,15,52,8.0,1.0,17.0,150000,200000
25080,deleojo01,1985,1,PIT,NL,2,19,31,25,1,0,3,488,138,85,15,89,149,0.23100000000000001,4.7000000000000002,3.0,7,3.0,1,700.0,5,93,7.0,4.0,7.0,155000,1825000
25085,dipinfr01,1985,1,HOU,NL,3,7,54,0,0,0,6,228,69,34,7,43,49,0.248,4.0300000000000002,6.0,4,2.0,1,329.0,29,44,3.0,3.0,10.0,255000,280000
25089,dotsori01,1985,1,CHA,AL,3,4,9,9,0,0,0,157,53,26,5,17,33,0.26100000000000001,4.4699999999999998,1.0,0,3.0,0,226.0,0,30,1.0,2.0,2.0,900000,975000
25090,draveda01,1985,1,SDN,NL,13,11,34,31,7,2,0,644,200,70,18,57,105,0.249,2.9300000000000002,5.0,2,1.0,2,876.0,1,79,13.0,3.0,20.0,240000,350000
25091,easteja01,1985,1,CLE,AL,4,1,50,7,0,0,0,296,96,43,9,53,58,0.26400000000000001,3.9199999999999999,4.0,7,4.0,0,435.0,18,52,5.0,9.0,11.0,265000,350000
25092,eckerde01,1985,1,CHN,NL,11,7,25,25,6,2,0,508,145,58,15,19,117,0.22899999999999998,3.0800000000000001,4.0,0,3.0,3,664.0,0,61,6.0,2.0,7.0,750000,783333
